Session,Mike_Score,Preeta_Score,Mike_Session_Total,Preeta_Session_Total,Mike_Overall_Total,Preeta_Overall_Total
56,10,-1,31,3,3986,4163
56,1,10,32,13,3987,4173
56,13,3,45,16,4000,4176
56,2,18,47,34,4002,4194
56,11,0,58,34,4013,4194
56,1,0,59,34,4014,4194
56,7,0,66,34,4021,4194
56,3,10,69,44,4024,4204
56,2,0,71,44,4026,4204
56,7,1,78,45,4033,4205
56,-1,0,77,45,4032,4205
56,8,1,85,46,4040,4206
56,7,2,92,48,4047,4208
56,1,0,93,48,4048,4208
57,7,-2,7,-2,4055,4206
57,19,2,26,0,4074,4208
57,1,19,27,19,4075,4227
57,-1,11,26,30,4074,4238
57,7,0,33,30,4081,4238
57,4,2,37,32,4085,4240
57,5,15,42,47,4090,4255
57,0,2,42,49,4090,4257
57,10,0,52,49,4100,4257
57,0,3,52,52,4100,4260
57,3,0,55,52,4103,4260
57,0,10,55,62,4103,4270
57,2,13,57,75,4105,4283
57,1,2,58,77,4106,4285
57,-1,0,57,77,4105,4285
57,17,7,74,84,4122,4292
57,2,-1,76,83,4124,4291
57,1,8,77,91,4125,4299
57,10,0,87,91,4135,4299
57,6,0,93,91,4141,4299
57,-1,4,92,95,4140,4303
57,0,2,92,97,4140,4305
57,0,1,92,98,4140,4306
57,4,0,96,98,4144,4306
57,5,24,101,122,4149,4330
57,1,6,102,128,4150,4336
57,5,10,107,138,4155,4346
57,1,2,108,140,4156,4348
57,3,2,111,142,4159,4350
57,4,1,115,143,4163,4351
57,5,11,120,154,4168,4362
57,0,5,120,159,4168,4367
57,7,0,127,159,4175,4367
57,2,-1,129,158,4177,4366
57,3,0,132,158,4180,4366
57,2,12,134,170,4182,4378
58,-1,0,-1,0,4181,4378
58,0,3,-1,3,4181,4381
58,4,2,3,5,4185,4383
58,1,3,4,8,4186,4386
58,1,0,5,8,4187,4386
58,-1,1,4,9,4186,4387
58,-1,12,3,21,4185,4399
58,0,3,3,24,4185,4402
58,3,13,6,37,4188,4415
58,10,0,16,37,4198,4415
58,1,3,17,40,4199,4418
58,1,-1,18,39,4200,4417
58,17,3,35,42,4217,4420
58,0,8,35,50,4217,4428
58,13,3,48,53,4230,4431
58,8,1,56,54,4238,4432
58,4,8,60,62,4242,4440
58,14,-1,74,61,4256,4439
58,3,12,77,73,4259,4451
58,15,3,92,76,4274,4454
59,0,-1,0,-1,4274,4453
59,0,4,0,3,4274,4457
59,-1,0,-1,3,4273,4457
59,1,5,0,8,4274,4462
59,5,-1,5,7,4279,4461
59,1,0,6,7,4280,4461
59,4,-1,10,6,4284,4460
59,14,0,24,6,4298,4460
59,5,1,29,7,4303,4461
59,1,17,30,24,4304,4478
59,-1,1,29,25,4303,4479
59,-1,6,28,31,4302,4485
59,2,-1,30,30,4304,4484
59,13,3,43,33,4317,4487
59,0,10,43,43,4317,4497
59,4,11,47,54,4321,4508
59,2,7,49,61,4323,4515
60,2,-1,2,-1,4325,4514
60,-1,1,1,0,4324,4515
60,-1,2,0,2,4323,4517
60,5,1,5,3,4328,4518
60,0,4,5,7,4328,4522
60,-2,8,3,15,4326,4530
61,13,0,13,0,4339,4530
61,0,1,13,1,4339,4531
61,-1,11,12,12,4338,4542
61,5,2,17,14,4343,4544
61,8,1,25,15,4351,4545
61,-1,1,24,16,4350,4546
61,0,10,24,26,4350,4556
61,1,12,25,38,4351,4568
61,3,1,28,39,4354,4569
61,-1,2,27,41,4353,4571
61,14,3,41,44,4367,4574
61,0,10,41,54,4367,4584
61,12,3,53,57,4379,4587
61,-2,10,51,67,4377,4597
61,4,-1,55,66,4381,4596
61,2,1,57,67,4383,4597
61,0,2,57,69,4383,4599
61,12,2,69,71,4395,4601
61,1,5,70,76,4396,4606
61,-1,0,69,76,4395,4606
62,-1,2,-1,2,4394,4608
62,-1,3,-2,5,4393,4611
62,13,2,11,7,4406,4613
62,2,1,13,8,4408,4614
62,6,1,19,9,4414,4615
62,17,5,36,14,4431,4620
62,8,1,44,15,4439,4621
62,5,1,49,16,4444,4622
62,1,6,50,22,4445,4628
62,-1,10,49,32,4444,4638
62,-1,18,48,50,4443,4656
62,1,10,49,60,4444,4666
62,11,1,60,61,4455,4667
62,1,-1,61,60,4456,4666
63,-1,0,-1,0,4455,4666
63,5,0,4,0,4460,4666
63,2,17,6,17,4462,4683
63,-1,6,5,23,4461,4689
63,1,7,6,30,4462,4696
64,0,18,0,18,4462,4714
64,1,6,1,24,4463,4720
64,21,0,22,24,4484,4720
64,19,4,41,28,4503,4724
64,0,1,41,29,4503,4725
64,1,-1,42,28,4504,4724
65,-2,8,-2,8,4502,4732
65,-1,0,-3,8,4501,4732
65,2,12,-1,20,4503,4744
65,0,13,-1,33,4503,4757
65,10,0,9,33,4513,4757
65,14,2,23,35,4527,4759
65,1,-1,24,34,4528,4758
65,-1,1,23,35,4527,4759
65,6,2,29,37,4533,4761
65,1,-1,30,36,4534,4760
65,0,11,30,47,4534,4771
66,0,1,0,1,4534,4772
66,2,1,2,2,4536,4773
66,12,-1,14,1,4548,4772
66,3,1,17,2,4551,4773
66,-1,6,16,8,4550,4779
66,3,5,19,13,4553,4784
66,-1,0,18,13,4552,4784
66,7,0,25,13,4559,4784
66,1,11,26,24,4560,4795
66,1,11,27,35,4561,4806
66,0,5,27,40,4561,4811
66,0,-1,27,39,4561,4810
66,3,0,30,39,4564,4810
66,4,-1,34,38,4568,4809
67,1,11,1,11,4569,4820
67,7,-1,8,10,4576,4819
67,-1,9,7,19,4575,4828
67,0,11,7,30,4575,4839
67,3,0,10,30,4578,4839
67,-1,4,9,34,4577,4843
67,1,8,10,42,4578,4851
67,0,3,10,45,4578,4854
67,3,-1,13,44,4581,4853
67,10,0,23,44,4591,4853
67,3,9,26,53,4594,4862
67,-1,9,25,62,4593,4871
67,0,-1,25,61,4593,4870
67,-1,0,24,61,4592,4870
67,0,-1,24,60,4592,4869
67,5,16,29,76,4597,4885
67,3,12,32,88,4600,4897
68,-1,4,-1,4,4599,4901
68,1,19,0,23,4600,4920
68,10,3,10,26,4610,4923
68,3,-1,13,25,4613,4922
68,4,6,17,31,4617,4928
68,0,-1,17,30,4617,4927
68,3,0,20,30,4620,4927
68,5,3,25,33,4625,4930
68,14,4,39,37,4639,4934
68,0,-1,39,36,4639,4933
68,10,0,49,36,4649,4933
68,0,3,49,39,4649,4936
69,0,10,0,10,4649,4946
69,2,-1,2,9,4651,4945
69,0,6,2,15,4651,4951
69,18,4,20,19,4669,4955
69,3,-1,23,18,4672,4954
69,1,2,24,20,4673,4956
69,3,15,27,35,4676,4971
69,2,6,29,41,4678,4977
69,-1,2,28,43,4677,4979
69,16,2,44,45,4693,4981
69,-1,11,43,56,4692,4992
69,-1,0,42,56,4691,4992
69,-1,8,41,64,4690,5000
69,-1,0,40,64,4689,5000
70,2,1,2,1,4691,5001
70,20,4,22,5,4711,5005
70,2,1,24,6,4713,5006
70,1,-1,25,5,4714,5005
70,10,2,35,7,4724,5007
70,0,2,35,9,4724,5009
70,-1,2,34,11,4723,5011
70,6,1,40,12,4729,5012
70,3,5,43,17,4732,5017
70,11,2,54,19,4743,5019
70,-1,9,53,28,4742,5028
71,0,7,0,7,4742,5035
71,-1,10,-1,17,4741,5045
71,1,3,0,20,4742,5048
71,0,-1,0,19,4742,5047
71,4,14,4,33,4746,5061
71,0,-1,4,32,4746,5060
71,3,14,7,46,4749,5074
71,1,0,8,46,4750,5074
72,0,1,0,1,4750,5075
72,3,18,3,19,4753,5093
72,4,2,7,21,4757,5095
73,1,0,1,0,4758,5095
73,-1,3,0,3,4757,5098
73,4,2,4,5,4761,5100
73,-1,-1,3,4,4760,5099
73,-1,10,2,14,4759,5109
73,1,0,3,14,4760,5109
73,1,8,4,22,4761,5117
73,13,3,17,25,4774,5120
73,-1,0,16,25,4773,5120
74,5,11,5,11,4778,5131
74,-1,12,4,23,4777,5143
74,8,4,12,27,4785,5147
74,9,-1,21,26,4794,5146
74,-1,9,20,35,4793,5155
74,-1,7,19,42,4792,5162
74,10,3,29,45,4802,5165
74,3,0,32,45,4805,5165
74,0,3,32,48,4805,5168
74,16,0,48,48,4821,5168
74,1,22,49,70,4822,5190
74,13,3,62,73,4835,5193
74,-1,10,61,83,4834,5203
74,5,7,66,90,4839,5210
74,0,10,66,100,4839,5220
74,6,1,72,101,4845,5221
74,-1,2,71,103,4844,5223
74,5,7,76,110,4849,5230
74,0,11,76,121,4849,5241
74,0,-1,76,120,4849,5240
74,5,12,81,132,4854,5252
74,1,0,82,132,4855,5252
74,8,5,90,137,4863,5257
75,1,6,1,6,4864,5263
75,10,0,11,6,4874,5263
75,4,0,15,6,4878,5263
75,0,3,15,9,4878,5266
75,0,1,15,10,4878,5267
75,4,1,19,11,4882,5268
75,1,0,20,11,4883,5268
75,1,9,21,20,4884,5277
75,17,9,38,29,4901,5286
75,0,1,38,30,4901,5287
75,2,7,40,37,4903,5294
75,2,1,42,38,4905,5295
